width,height,food_class_idx,food_weight,user_age,user_weight,activity_level,kalori,protein,lemak
244,112,4,145.1275063295049,50,70,1.5,36.28187658237623,2.6122951139310886,0.2902550126590098
446,319,10,220.6609663156674,36,80,2.0,887.0570845889829,55.16524157891685,72.81811888417025
451,204,1,51.07250351769528,36,60,2.0,122.06328340729173,13.789575949777728,7.15015049247734
122,298,11,235.48448458247947,25,90,1.2,324.96858872382165,10.596801806211575,4.709689691649589
236,233,4,271.32625630876873,40,80,1.2,67.83156407719218,4.883872613557838,0.5426525126175374
312,152,4,118.43419769578296,40,75,1.2,29.60854942394574,2.1318155585240937,0.23686839539156593
425,339,1,106.67377270180704,30,75,2.0,254.95031675731883,28.8019186294879,14.934328178252986
55,92,4,281.35768961411225,50,90,1.5,70.33942240352806,5.064438413054021,0.5627153792282245
181,335,6,208.16347663212457,36,70,1.5,322.6533887797931,27.061251962176197,22.8979824295337
484,448,11,188.41971729491956,40,70,1.75,260.019209866989,8.47888727827138,3.7683943458983915
215,110,9,297.5126691136031,40,90,1.5,788.4085731510482,26.77614022022428,9.5204054116353
280,93,5,211.9729757734463,36,60,2.0,110.22594740219209,1.0598648788672316,0.42394595154689263
267,63,7,159.53537889227533,36,80,1.5,398.8384472306883,41.47919851199159,23.9303068338413
459,474,10,94.76274759178233,50,70,1.75,380.94624531896494,23.690686897945582,31.27170670528817
302,135,3,184.61170275069375,30,60,1.75,380.30010766642914,40.614574605152626,22.153404330083248
331,186,4,240.6538167146381,36,70,1.2,60.16345417865953,4.331768700863487,0.48130763342927624
346,291,6,153.34754625711753,36,75,1.5,237.68869669853217,19.93518101342528,16.868230088282928
52,477,3,82.09927235109427,36,80,1.5,169.1245010432542,18.06183991724074,9.851912682131312
134,284,1,62.065311894014165,40,70,1.5,148.33609542669387,16.757634211383827,8.689143665161984
372,407,8,261.4101744407047,25,90,1.75,109.79227326509596,8.88794593098396,2.614101744407047
405,270,9,210.2266173988354,36,80,2.0,557.1005361069138,18.920395565895184,6.727251756762733
481,201,11,266.87937819490094,25,80,2.0,368.2935419089633,12.009572018770541,5.337587563898019
446,372,2,268.44772073418915,30,70,1.75,206.70474496532566,5.368954414683783,0.26844772073418915
456,209,6,120.4029425982766,36,90,2.0,186.62456102732872,15.652382537775958,13.244323685810425
211,389,6,277.69072048154123,50,60,1.2,430.42061674638893,36.09979366260036,30.545979252969534
445,352,0,63.1890599930114,50,75,1.2,82.14577799091482,1.5797264998252851,0.1895671799790342
200,271,8,272.87766835005664,36,70,1.2,114.60862070702379,9.277840723901926,2.7287766835005662
477,323,2,224.15672162506198,40,75,1.5,172.60067565129773,4.48313443250124,0.22415672162506198
340,438,1,197.60185963323593,25,75,1.2,472.2684445234339,53.3525021009737,27.664260348653034
402,377,0,80.07422024131316,40,60,2.0,104.0964863137071,2.001855506032829,0.24022266072393947
221,59,10,104.99420629455543,25,60,1.5,422.07670930411274,26.248551573638856,34.64808807720329
206,183,9,74.85492153830363,30,80,1.75,198.3655420765046,6.736942938447326,2.395357489225716
250,120,6,232.6301554727215,50,60,1.5,360.5767409827183,30.241920211453795,25.589317101999367
370,302,3,171.59101594621376,40,70,1.75,353.47749284920036,37.750023508167025,20.59092191354565
477,208,8,210.83179575541644,50,75,1.2,88.5493542172749,7.168281055684159,2.1083179575541644
436,332,9,150.72865570983856,36,75,1.2,399.4309376310722,13.56557901388547,4.823316982714834
427,423,10,281.03381635076926,40,90,1.75,1129.7559417300922,70.25845408769231,92.74115939575385
348,188,10,196.2361763043968,25,75,1.2,788.869428743675,49.0590440760992,64.75793818045095
386,108,1,256.2005213318565,40,70,1.2,612.3192459831371,69.17414075960127,35.868072986459914
425,201,3,76.63362755994078,40,60,1.75,157.865272773478,16.859398063186973,9.196035307192894
275,478,5,85.53212903284006,36,60,1.2,44.47670709707683,0.4276606451642003,0.17106425806568012
280,126,6,188.13680039232366,40,70,2.0,291.61204060810167,24.457784051002076,20.6950480431556
372,370,4,110.63932625846655,30,80,1.75,27.65983156461664,1.9915078726523983,0.2212786525169331
157,189,7,263.0682698026658,36,60,2.0,657.6706745066645,68.3977501486931,39.46024047039987
168,451,9,97.79435863702471,50,70,1.2,259.1550503881155,8.801492277332224,3.129419476384791
139,353,5,164.24570623450535,30,90,2.0,85.40776724194278,0.8212285311725268,0.3284914124690107
449,297,9,124.93578782676374,36,90,1.75,331.0798377409239,11.244220904408737,3.99794521045644
404,398,7,118.88462135743623,25,80,1.5,297.2115533935906,30.91000155293342,17.832693203615435
108,412,2,75.75666572727772,40,80,1.75,58.33263261000385,1.5151333145455546,0.07575666572727772
369,432,10,222.42269915119124,25,90,1.75,894.1392505877886,55.60567478779781,73.39949071989311
464,55,9,180.39765268852454,30,80,1.2,478.05377962459005,16.23578874196721,5.772724886032786
338,78,8,106.1343964844869,30,75,1.2,44.5764465234845,3.6085694804725548,1.061343964844869
459,391,1,285.5454543429071,40,60,1.5,682.453635879548,77.09727267258492,39.97636360800699
238,422,4,192.07665719345962,50,80,1.5,48.019164298364906,3.4573798294822735,0.38415331438691924
447,292,6,152.89307945379778,25,90,1.5,236.98427315338657,19.87610032899371,16.818238739917756
384,324,8,239.810057135457,36,70,1.5,100.72022399689193,8.153541942605537,2.3981005713545698
172,430,8,176.79524839104488,40,60,2.0,74.25400432423885,6.011038445295526,1.7679524839104488
440,162,2,291.79369102189,25,90,1.5,224.68114208685532,5.835873820437801,0.29179369102189
133,109,0,144.7072183312951,25,75,1.5,188.11938383068366,3.617680458282378,0.43412165499388533
58,158,0,84.83535201229628,30,60,1.5,110.28595761598517,2.120883800307407,0.25450605603688886
122,316,4,240.95972188951222,30,75,1.75,60.239930472378056,4.337274994011221,0.48191944377902446
151,253,9,115.8437740164488,25,80,2.0,306.9860011435893,10.425939661480392,3.707000768526362
224,90,6,130.4175489401623,25,75,1.75,202.1472008572516,16.9542813622211,14.345930383417853
451,121,10,59.828744130216144,30,75,1.2,240.51155140346887,14.957186032554036,19.74348556297133
305,187,4,271.8909776808303,30,75,2.0,67.97274442020758,4.894037598254946,0.5437819553616606
